latitude, longitude, nturbine, depth
-5.512,119.406,11.000,-9.307
-5.512,119.433,0.000,0.000
-5.512,119.460,0.000,0.000
-5.512,119.487,0.000,0.000
-5.512,119.514,0.000,0.000
-5.512,119.541,0.000,0.000
-5.512,119.568,0.000,0.000
-5.512,119.595,0.000,0.000
-5.512,119.622,0.000,0.000
-5.512,119.649,0.000,0.000
-5.512,119.676,0.000,0.000
-5.512,119.703,0.000,0.000
-5.539,119.406,14.000,-10.210
-5.539,119.433,0.000,0.000
-5.539,119.460,0.000,0.000
-5.539,119.487,0.000,0.000
-5.539,119.514,0.000,0.000
-5.539,119.541,0.000,0.000
-5.539,119.568,0.000,0.000
-5.539,119.595,0.000,0.000
-5.539,119.622,0.000,0.000
-5.539,119.649,0.000,0.000
-5.539,119.676,0.000,0.000
-5.539,119.703,0.000,0.000
-5.566,119.406,9.000,-9.641
-5.566,119.433,0.000,0.000
-5.566,119.460,0.000,0.000
-5.566,119.487,3.000,-9.551
-5.566,119.514,0.000,0.000
-5.566,119.541,0.000,0.000
-5.566,119.568,0.000,0.000
-5.566,119.595,0.000,0.000
-5.566,119.622,0.000,0.000
-5.566,119.649,0.000,0.000
-5.566,119.676,0.000,0.000
-5.566,119.703,0.000,0.000
-5.593,119.406,19.000,-10.689
-5.593,119.433,8.000,-10.359
-5.593,119.460,1.000,-9.578
-5.593,119.487,6.000,-11.062
-5.593,119.514,12.000,-12.550
-5.593,119.541,2.000,-10.032
-5.593,119.568,0.000,0.000
-5.593,119.595,0.000,0.000
-5.593,119.622,0.000,0.000
-5.593,119.649,0.000,0.000
-5.593,119.676,0.000,0.000
-5.593,119.703,0.000,0.000
-5.620,119.406,12.000,-15.257
-5.620,119.433,11.000,-14.800
-5.620,119.460,17.000,-14.767
-5.620,119.487,5.000,-13.032
-5.620,119.514,14.000,-15.236
-5.620,119.541,4.000,-11.539
-5.620,119.568,0.000,0.000
-5.620,119.595,1.000,-10.234
-5.620,119.622,3.000,-9.788
-5.620,119.649,0.000,0.000
-5.620,119.676,0.000,0.000
-5.620,119.703,0.000,0.000
-5.647,119.406,14.000,-16.620
-5.647,119.433,11.000,-18.756
-5.647,119.460,6.000,-18.897
-5.647,119.487,2.000,-19.772
-5.647,119.514,7.000,-17.246
-5.647,119.541,11.000,-13.783
-5.647,119.568,2.000,-11.190
-5.647,119.595,7.000,-13.611
-5.647,119.622,17.000,-13.319
-5.647,119.649,0.000,0.000
-5.647,119.676,0.000,0.000
-5.647,119.703,0.000,0.000
-5.674,119.406,0.000,0.000
-5.674,119.433,0.000,0.000
-5.674,119.460,0.000,0.000
-5.674,119.487,0.000,0.000
-5.674,119.514,0.000,0.000
-5.674,119.541,5.000,-15.775
-5.674,119.568,6.000,-14.975
-5.674,119.595,8.000,-16.009
-5.674,119.622,12.000,-12.679
-5.674,119.649,0.000,0.000
-5.674,119.676,0.000,0.000
-5.674,119.703,0.000,0.000
-5.701,119.406,0.000,0.000
-5.701,119.433,0.000,0.000
-5.701,119.460,0.000,0.000
-5.701,119.487,0.000,0.000
-5.701,119.514,0.000,0.000
-5.701,119.541,0.000,0.000
-5.701,119.568,0.000,0.000
-5.701,119.595,7.000,-18.056
-5.701,119.622,14.000,-15.468
-5.701,119.649,12.000,-14.270
-5.701,119.676,9.000,-13.363
-5.701,119.703,5.000,-12.047
-5.728,119.406,0.000,0.000
-5.728,119.433,0.000,0.000
-5.728,119.460,0.000,0.000
-5.728,119.487,0.000,0.000
-5.728,119.514,0.000,0.000
-5.728,119.541,0.000,0.000
-5.728,119.568,0.000,0.000
-5.728,119.595,0.000,0.000
-5.728,119.622,0.000,0.000
-5.728,119.649,2.000,-18.405
-5.728,119.676,9.000,-17.890
-5.728,119.703,17.000,-16.481
-5.755,119.406,0.000,0.000
-5.755,119.433,0.000,0.000
-5.755,119.460,0.000,0.000
-5.755,119.487,0.000,0.000
-5.755,119.514,0.000,0.000
-5.755,119.541,0.000,0.000
-5.755,119.568,0.000,0.000
-5.755,119.595,0.000,0.000
-5.755,119.622,0.000,0.000
-5.755,119.649,0.000,0.000
-5.755,119.676,0.000,0.000
-5.755,119.703,0.000,0.000
-5.782,119.406,0.000,0.000
-5.782,119.433,0.000,0.000
-5.782,119.460,0.000,0.000
-5.782,119.487,0.000,0.000
-5.782,119.514,0.000,0.000
-5.782,119.541,0.000,0.000
-5.782,119.568,0.000,0.000
-5.782,119.595,0.000,0.000
-5.782,119.622,0.000,0.000
-5.782,119.649,0.000,0.000
-5.782,119.676,0.000,0.000
-5.782,119.703,0.000,0.000
-5.809,119.406,0.000,0.000
-5.809,119.433,0.000,0.000
-5.809,119.460,0.000,0.000
-5.809,119.487,0.000,0.000
-5.809,119.514,0.000,0.000
-5.809,119.541,0.000,0.000
-5.809,119.568,0.000,0.000
-5.809,119.595,0.000,0.000
-5.809,119.622,0.000,0.000
-5.809,119.649,0.000,0.000
-5.809,119.676,0.000,0.000
-5.809,119.703,0.000,0.000
