latitude, longitude, nturbine, depth
-5.512,119.406,11.000,-9.278
-5.512,119.433,0.000,0.000
-5.512,119.460,0.000,0.000
-5.512,119.487,0.000,0.000
-5.512,119.514,0.000,0.000
-5.512,119.541,0.000,0.000
-5.512,119.568,0.000,0.000
-5.512,119.595,0.000,0.000
-5.512,119.622,0.000,0.000
-5.512,119.649,0.000,0.000
-5.512,119.676,0.000,0.000
-5.512,119.703,0.000,0.000
-5.539,119.406,13.000,-10.348
-5.539,119.433,0.000,0.000
-5.539,119.460,0.000,0.000
-5.539,119.487,0.000,0.000
-5.539,119.514,0.000,0.000
-5.539,119.541,0.000,0.000
-5.539,119.568,0.000,0.000
-5.539,119.595,0.000,0.000
-5.539,119.622,0.000,0.000
-5.539,119.649,0.000,0.000
-5.539,119.676,0.000,0.000
-5.539,119.703,0.000,0.000
-5.566,119.406,9.000,-9.515
-5.566,119.433,0.000,0.000
-5.566,119.460,0.000,0.000
-5.566,119.487,5.000,-9.030
-5.566,119.514,0.000,0.000
-5.566,119.541,0.000,0.000
-5.566,119.568,0.000,0.000
-5.566,119.595,0.000,0.000
-5.566,119.622,0.000,0.000
-5.566,119.649,0.000,0.000
-5.566,119.676,0.000,0.000
-5.566,119.703,0.000,0.000
-5.593,119.406,20.000,-10.550
-5.593,119.433,8.000,-9.851
-5.593,119.460,1.000,-8.167
-5.593,119.487,7.000,-11.000
-5.593,119.514,13.000,-12.194
-5.593,119.541,1.000,-10.829
-5.593,119.568,0.000,0.000
-5.593,119.595,0.000,0.000
-5.593,119.622,0.000,0.000
-5.593,119.649,0.000,0.000
-5.593,119.676,0.000,0.000
-5.593,119.703,0.000,0.000
-5.620,119.406,12.000,-15.512
-5.620,119.433,11.000,-15.270
-5.620,119.460,18.000,-14.990
-5.620,119.487,5.000,-12.340
-5.620,119.514,16.000,-14.735
-5.620,119.541,4.000,-10.671
-5.620,119.568,0.000,0.000
-5.620,119.595,1.000,-9.576
-5.620,119.622,2.000,-9.567
-5.620,119.649,0.000,0.000
-5.620,119.676,0.000,0.000
-5.620,119.703,0.000,0.000
-5.647,119.406,13.000,-16.256
-5.647,119.433,11.000,-18.680
-5.647,119.460,7.000,-18.959
-5.647,119.487,2.000,-19.772
-5.647,119.514,8.000,-16.763
-5.647,119.541,11.000,-13.305
-5.647,119.568,2.000,-10.217
-5.647,119.595,7.000,-13.245
-5.647,119.622,17.000,-13.463
-5.647,119.649,0.000,0.000
-5.647,119.676,0.000,0.000
-5.647,119.703,0.000,0.000
-5.674,119.406,0.000,0.000
-5.674,119.433,0.000,0.000
-5.674,119.460,0.000,0.000
-5.674,119.487,0.000,0.000
-5.674,119.514,0.000,0.000
-5.674,119.541,3.000,-14.692
-5.674,119.568,7.000,-14.907
-5.674,119.595,7.000,-17.176
-5.674,119.622,13.000,-12.772
-5.674,119.649,0.000,0.000
-5.674,119.676,0.000,0.000
-5.674,119.703,0.000,0.000
-5.701,119.406,0.000,0.000
-5.701,119.433,0.000,0.000
-5.701,119.460,0.000,0.000
-5.701,119.487,0.000,0.000
-5.701,119.514,0.000,0.000
-5.701,119.541,0.000,0.000
-5.701,119.568,0.000,0.000
-5.701,119.595,6.000,-18.036
-5.701,119.622,14.000,-15.574
-5.701,119.649,13.000,-14.604
-5.701,119.676,9.000,-12.879
-5.701,119.703,5.000,-10.478
-5.728,119.406,0.000,0.000
-5.728,119.433,0.000,0.000
-5.728,119.460,0.000,0.000
-5.728,119.487,0.000,0.000
-5.728,119.514,0.000,0.000
-5.728,119.541,0.000,0.000
-5.728,119.568,0.000,0.000
-5.728,119.595,0.000,0.000
-5.728,119.622,0.000,0.000
-5.728,119.649,3.000,-19.049
-5.728,119.676,9.000,-18.569
-5.728,119.703,17.000,-16.794
-5.755,119.406,0.000,0.000
-5.755,119.433,0.000,0.000
-5.755,119.460,0.000,0.000
-5.755,119.487,0.000,0.000
-5.755,119.514,0.000,0.000
-5.755,119.541,0.000,0.000
-5.755,119.568,0.000,0.000
-5.755,119.595,0.000,0.000
-5.755,119.622,0.000,0.000
-5.755,119.649,0.000,0.000
-5.755,119.676,0.000,0.000
-5.755,119.703,0.000,0.000
-5.782,119.406,0.000,0.000
-5.782,119.433,0.000,0.000
-5.782,119.460,0.000,0.000
-5.782,119.487,0.000,0.000
-5.782,119.514,0.000,0.000
-5.782,119.541,0.000,0.000
-5.782,119.568,0.000,0.000
-5.782,119.595,0.000,0.000
-5.782,119.622,0.000,0.000
-5.782,119.649,0.000,0.000
-5.782,119.676,0.000,0.000
-5.782,119.703,0.000,0.000
-5.809,119.406,0.000,0.000
-5.809,119.433,0.000,0.000
-5.809,119.460,0.000,0.000
-5.809,119.487,0.000,0.000
-5.809,119.514,0.000,0.000
-5.809,119.541,0.000,0.000
-5.809,119.568,0.000,0.000
-5.809,119.595,0.000,0.000
-5.809,119.622,0.000,0.000
-5.809,119.649,0.000,0.000
-5.809,119.676,0.000,0.000
-5.809,119.703,0.000,0.000
